alg,size,sec,speed
merge,300,1.51,0
bubble,100,1.6706,0
bubble,50,0.4187,0
bubble,50,0.5175,0
insertion,200,14.54694,0
selection,200,1.53153,0
radix,800,0.95219,0
radix,800,2.45994,0.5
radix,800,4.06194,0.5
quick,20,0.23493,0
quick,20,0.29733,0
quick,50,0.85879,0
quick,50,0.29571,0
counting,1000,13.71503,0
radix,1000,1.31425,0
cocktail,150,5.96106,0
quick,100,0.86256,0
bubble,150,6.11886,0
counting,150,0.3406,0
merge,500,4.52782,0
merge,1000,25.80908,0
merge,50,0.18286,0
merge,50,9.88126,0.1
merge,600,7.09501,0
merge,600,7.00734,0
insertion,100,1.83753,0
insertion,100,1.9944,0
insertion,20,8.89054,0.1
selection,20,0.05198,0
selection,200,1.56738,0
selection,200,1.49803,0
selection,200,14.32513,0
selection,200,0.82618,0
bubble,20,0.18032,0
bubble,20,0.20825,0
bubble,20,0.17665,0
bubble,100,1.95273,0
bubble,100,1.81611,0
bubble,100,1.76978,0
selection,400,8.30776,0
merge,400,2.7161,0
bubble,100,2.07579,0
bubble,100,1.99281,0
bubble,100,1.88102,0
selection,400,8.25888,0
merge,400,2.70502,0
radix,2000,1.5055,0
radix,2000,1.40892,0
radix,5000,2.14226,0
shell,200,3.58413,0
quick,200,3.54161,0
cocktail,200,15.48364,0
cocktail,20,0.15192,0
merge,200,0.60554,0
merge,400,2.71535,0
merge,200,0.65066,0
selection,100,1.85703,0
selection,100,0.2299,0
selection,100,0.22996,0
selection,100,0.04084,0
selection,100,1.44717,0
counting,500,2.41937,0
radix,500,0.9338,0
bubble,100,1.78803,0
bubble,100,1.96516,0
selection,100,0.42158,0
selection,100,39.7798,0.1
selection,400,8.31801,0
merge,400,2.70508,0
quick,200,3.7411,0
shell,200,3.48441,0
cocktail,200,13.86712,0
radix,2000,1.45496,0
counting,600,3.80057,0
quick,200,4.20027,0
merge,200,0.60856,0
merge,200,0.64736,0
merge,200,0.6667,0
merge,200,0.71559,0
selection,200,14.75217,0
selection,20,0.16814,0
selection,20,0.13407,0
bubble,20,0.00041,0
selection,200,1.52334,0
selection,200,1.59026,0
merge,200,0.60895,0
shell,400,3.33936,0
cocktail,150,14.57652,0
quick,150,3.7265,0
quick,20,15.49267,0.1
merge,20,3.81995,0.1
bubble,100,1.91971,0
bubble,100,1.78605,0
bubble,100,2.0458,0
insertion,100,1.74672,0
selection,400,8.24342,0
merge,400,2.65123,0
quick,200,3.59654,0
cocktail,150,6.05415,0
shell,300,9.10072,0
quick,300,9.55007,0
selection,20,0.06469,0
selection,20,0.01869,0
merge,200,0.58202,0
merge,200,0.58446,0
merge,100,0.23467,0
insertion,100,3.5203,0
insertion,100,1.59156,0
shell,200,2.2076,0
shell,0,3.33214,0
radix,4000,1.84839,0
radix,4000,1.83043,0
counting,800,7.83488,0
merge,500,4.53209,0
quick,200,3.93705,0
selection,500,13.46521,0
cocktail,200,15.06699,0
radix,1000,1.30972,0
bubble,10,0.00796,0
bubble,10,5.41901,0.2
selection,300,3.79186,0
radix,300,0.91786,0
counting,500,2.21526,0
counting,500,2.24464,0
quick,200,3.76954,0
quick,10,0.03081,0
cocktail,150,5.63872,0
cocktail,150,5.19683,0
merge,200,0.60605,0
bubble,200,13.8033,0
merge,200,0.52363,0
merge,500,3.99085,0
merge,200,0.54859,0
quick,200,3.29856,0
quick,200,9.85823,0
selection,100,1.73613,0
merge,200,0.52732,0
merge,500,4.16481,0
merge,500,4.01951,0
quick,250,5.84222,0
merge,500,4.06635,0
quick,250,6.11456,0
quick,250,5.38436,0
selection,250,0.92226,0
selection,100,1.70499,0
selection,200,1.39951,0
bogo,5,0.16723,0
bogo,6,1.81918,0.1
bogo,6,0.18928,0
bogo,7,0.8477,0
bogo,7,0.47377,0
bogo,7,0.14207,0
